source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,ps1_id,g,r,i,z,g_err,r_err,i_err,z_err,kine_prob,main_seq,multiple,bright,ra2k,de2k
342823675388286464,27.82979773140263,0.22391346,38.26102723234938,0.2003178,2.15662225640175,0.27242854,9.947184659055276,0.2701617,-11.2438408986217,0.24447566,0.9163422,18.912718,20.346205,17.730299,0.0031674669742,0.0897090961991273,0.0185630609249788,153910278297353884,20.7210006713867,19.4713001251221,18.1797008514404,17.5715007781982,0.0324480012059212,0.0108489999547601,0.0034250000026077,0.0061059999279677,0.5703333333333334,1,0,0,27.829741427447125,38.26107720496215
342860131070506624,29.230493391394266,0.06243802,37.57816927366668,0.06587879,2.229425613442268,0.08028638,9.640298146343174,0.08883603,-12.00577031394988,0.116829254,1.0929999,16.687607,17.714674,15.688408,0.0008903019415034,0.0113435514332905,0.003624724611066,153090292304564449,18.1054992675781,16.8589000701904,16.0916996002197,15.7534999847412,0.0071270000189542,0.0026529999449849,0.0020900000818073,0.0041669998317956,0.9993333333333332,1,0,0,29.230439328798045,37.578222632633526
330795769798025216,30.54969585251184,0.046032704,37.22801899378777,0.038528427,2.1879333563957037,0.05083987,9.420478054193266,0.052307937,-12.175416943660256,0.05742763,0.959048,15.927468,16.755634,15.0372095,0.0005346000929509,0.0052969716395157,0.0021516627063447,152670305496534268,17.1098003387451,15.9579000473022,15.4247999191284,15.1823997497559,0.0022789998911321,0.0042869998142123,0.0038680001161992,0.003703000023961,1.0,1,0,0,30.5496432689585,37.22807310674035
342862463236833152,29.353943733765423,0.15217985,37.666972750354816,0.1387049,2.152575034904439,0.21212961,9.812380757823554,0.21588755,-11.951028958428845,0.23694615,1.007235,18.209251,19.532318,17.074366,0.0020541149650553,0.0493150470893696,0.0116494224916688,153200293539051023,19.9484996795654,18.7031993865967,17.5174999237061,17.0013999938965,0.0342140011489391,0.004499000031501,0.0037990000564605,0.0048969998024404,0.8363333333333334,1,0,0,29.353888640359997,37.667025866026265
342935855638337408,29.249288969856863,0.21430221,38.07959886999102,0.25970572,2.2648408039259538,0.2759858,9.433933234450825,0.32165378,-11.672537887254284,0.5144509,0.9780202,18.947905,20.502634,17.705141,0.0029696419638837,0.0912356774028734,0.0163942151525448,153690292492796164,20.941499710083,19.7441005706787,18.2061004638672,17.5030994415283,0.0324570015072823,0.0133649995550513,0.0060029998421669,0.0051750000566244,0.703,1,0,0,29.249235703805013,38.079650747925164
342532678467673088,29.12532685818297,0.17451462,37.5842932003787,0.17758602,2.0419499764216273,0.2128519,9.688538584553596,0.24069457,-12.24317727877146,0.28731447,1.1271088,18.43421,19.819317,17.294405,0.0022606314995095,0.0560764918827643,0.012345807653742,153100291253001804,20.2453002929688,18.9559001922607,17.7306995391846,17.1947994232178,0.0154170002788305,0.0054700002074241,0.0050820000469684,0.0071849999949336,0.6133333333333333,1,0,0,29.125272520585213,37.58434761448748
342858791040720128,29.241700621499028,0.07016024,37.485176763870534,0.07699435,2.2404711883195803,0.092021815,10.112565966864274,0.103580184,-11.52138293140343,0.13938919,1.0570961,17.054253,18.147247,16.007816,0.0010618934538665,0.0154025120770805,0.0045893105961594,152980292416732864,18.5694007873535,17.3166999816895,16.4244995117188,16.0287990570068,0.0080429995432496,0.0015999999595806,0.0023380001075565,0.0045219999738037,0.9986666666666668,1,0,0,29.241643981100527,37.48522797000337
342890569502955136,29.700646146112444,0.10723225,37.823607672384746,0.1043527,2.149660181281411,0.12437003,9.626901251736673,0.13221337,-11.955907154651612,0.14722027,0.98891723,17.60286,18.943485,16.436203,0.0015050228164112,0.032736242498792,0.0077647310281085,153380297006028959,19.4144992828369,18.1485004425049,16.9095001220703,16.3586006164551,0.0173310004174709,0.0074599999934434,0.005921000149101,0.0039380001835525,0.938,1,0,0,29.70059197960004,37.82366080973747
342907341351019904,29.190757187957463,0.07360346,37.613733549191025,0.070919745,2.3435769241182327,0.08435115,9.80625104975262,0.09992841,-12.085511798541962,0.11577462,0.91680574,17.016687,18.11205,15.983384,0.001094328730965,0.0158362888066447,0.0049092119859065,153130291907287130,18.5275993347168,17.2560005187988,16.3908004760742,16.0114994049072,0.0082019995898008,0.004050999879837,0.0032230000942945,0.0040409998036921,0.9996666666666668,1,0,0,29.190702168410425,37.61378726256401
342940769081135744,29.18385225872386,0.2791856,38.204651340657655,0.30521816,2.322281102815132,0.32454672,9.753234963120136,0.35801557,-11.640569308103018,0.45198995,1.1201268,19.236452,20.82946,17.960201,0.0035410052020496,0.1129177545536394,0.0188957923065091,153840291838326242,21.3959007263184,20.0972003936768,18.5053997039795,17.7649993896484,0.14690700173378,0.0183869991451502,0.0068509997799992,0.0086899995803833,0.6543333333333333,1,0,0,29.183797095358052,38.20470307650835
